lr,n_window,epoch,precision,recall,fmeasure
0.01,8,5,0.10046331731450607,0.8955334071613141,0.1806597444318644
0.01,8,10,0.09985183666480411,0.896640826873385,0.17969270957613023
0.01,16,5,0.08622645681013559,0.8977482465854558,0.15734073273112273
0.01,16,10,0.09154167389763984,0.9518272425249169,0.16702023161828203
0.01,32,5,0.09611598696016366,0.8556662975267627,0.17281937694326466
0.01,32,10,0.10115384385668119,0.8863049095607234,0.1815835813310542
0.01,64,5,0.10114196397465705,0.9736064968623108,0.18324747942314568
0.01,64,10,0.09649247955131203,0.9689922480620154,0.17550784588145862
