lr,beta,n_latent,epoch,precision,recall,fmeasure
<<<<<<< HEAD
0.001,0.01,8,5,Error,Error,Error
0.001,0.01,8,5,0.09612833739703362,0.954780361757106,0.17467064232872442
0.001,0.01,8,10,0.10781499395044064,0.9440753045404208,0.19352868525133599
0.001,0.01,8,20,Error,Error,Error
0.01,0.01,8,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,10,Error,Error,Error
0.01,0.01,8,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,10,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,20,1.0,0.5016611295681063,0.6681415929203539
0.01,0.01,8,40,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,80,1.0,0.5009228497600591,0.6674864731923266
0.1,0.01,8,5,1.0,0.499077150239941,0.665845850775671
0.1,0.01,8,10,1.0,0.499077150239941,0.665845850775671
0.1,0.01,8,20,Error,Error,Error
0.1,0.01,8,40,Error,Error,Error
0.1,0.01,8,80,Error,Error,Error
=======
0.01,0.01,8,5,1.0,0.499077150239941,0.665845850775671
0.01,0.01,8,10,1.0,0.499077150239941,0.665845850775671
0.01,0.01,8,20,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,40,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,80,1.0,0.499077150239941,0.665845850775671
0.001,0.01,8,5,0.09612833739703362,0.954780361757106,0.17467064232872442
0.001,0.01,8,10,Error,Error,Error
0.001,0.01,8,20,0.09935769621227182,0.9486895533407163,0.17987663911295265
0.001,0.01,8,40,0.10452690213848387,0.9324473975636767,0.1879812024317604
>>>>>>> e4a40d96943c56ff5d8d40fb67bb613e9d6ec88f
