lr,precision,recall,fmeasure
0.0001,0.1308550987298027,0.9587790697674418,0.23028119613303824
0.001,0.11327726068296337,0.9473255813953487,0.20235745668016464
0.01,0.08695002699165644,0.9666860465116279,0.1595491649354234
0.1,Error,Error,Error
0.001,Error,Error,Error
0.001,0.08553916089127357,0.710232558139535,0.15268875635568152
