dsName,TranAD,USAD,GDN,OmniAnomaly,RCoder
ecg,0.3000793366831044,0.33422132937374444,0.3504995836802664,0.39119219880465556,0.5076586433260394
smtp,0.2222222222222222,0.23076923076923075,0.004282655246252677,0.2857142857142857,0.00426049908703591
credit,0.01865671641791045,0.027777777777777776,0.027624309392265196,0.003772896855451766,0.42201834862385323
ecg,0.3000793366831044,0.33422132937374444,0.3504995836802664,0.39119219880465556,0.5351337178814893
smtp,0.2222222222222222,0.23076923076923075,0.004282655246252677,0.2857142857142857,0.0012457178449081284
dlr,0.17170495767835547,0.07770800627943485,0.1685823754789272,Error,0.1824175824175824
ecg,0.3000793366831044,0.33422132937374444,0.3504995836802664,0.39119219880465556,0.5349208460822137
smtp,0.2222222222222222,0.23076923076923075,0.004282655246252677,0.2857142857142857,0.004241139048773099
dlr,0.17170495767835547,0.07770800627943485,0.1685823754789272,Error,0.3063063063063063
ecg,0.29406531123340035,0.28618734634488985,0.23773767992052308,0.31348885127676795,Error
smtp,0.0006740105735408724,0.000679419945221767,0.0006723536580241206,0.000672579763756358,Error
dlr,0.07008760951188986,0.07008760951188986,0.07008760951188986,0.07008760951188986,Error
ecg,Error
smtp,Error
dlr,Error
