dsName,TranAD,USAD,GDN,OmniAnomaly
twitter,0.5660377358490566,0.24489795918367346,0.20300751879699247,0.14979757085020243
yahoo,0.75,0.75,0.75,1.0
twitter,0.5660377358490566,0.24489795918367346,0.20300751879699247,0.14979757085020243
yahoo,0.75,0.75,0.75,1.0
