dsName,TranAD,USAD,GDN,OmniAnomaly
twitter,0.40540540540540543,0.32432432432432434,0.36486486486486486,0.5
yahoo,0.75,0.75,0.75,1.0
twitter,0.40540540540540543,0.32432432432432434,0.36486486486486486,0.5
yahoo,0.75,0.75,0.75,1.0
