lr,beta,n_latent,epoch,lm,dsName,precision,recall,fmeasure
0.01,0.01,8,5,"(0.98, 1.3)",smtp,0.017543859649122806,0.375,0.0335195530726257
0.01,0.01,8,5,"(0.99, 1.3)",smtp,0.025210084033613446,0.375,0.04724409448818898
0.01,0.01,8,5,"(1.0, 1.3)",smtp,0.00033628988187817897,1.0,0.0006723536580241206
0.01,0.01,8,5,"(0.98, 1.4)",smtp,0.02247191011235955,0.375,0.04240282685512367
0.01,0.01,8,5,"(0.98, 1.5)",smtp,0.031413612565445025,0.375,0.05797101449275362
0.01,0.01,8,5,"(0.98, 1.2)",smtp,0.012,0.375,0.023255813953488375
