acc,NormA,BeatGAN
precision,0.48,0.258680556
recall,0.484127907,0.324069767
fmeasure,0.482055117,0.287706567
time,347.0799923,16435.69851
R_AUC_ROC,0.99922007,0.477422488
R_AUC_PR,0.992790854,0.192833059
VUS_ROC,0.99680384,0.51439293
VUS_PR,0.966762414,0.201778131
