acc,NormA,BeatGAN
precision,0.620987654,0.454101563
recall,0.618372093,0.605465116
fmeasure,0.619677114,0.518971879
time,333.0740929,16112.61725
R_AUC_ROC,0.999746982,0.997427556
R_AUC_PR,0.998049118,0.969825994
VUS_ROC,0.999638798,0.994883486
VUS_PR,0.9970366,0.93654037
