application,TranAD,RCoder,USAD,GDN,OmniAnomaly
ecg,0.4433846153846154,0.5543589743589744,0.7074871794871795,0.6856410256410257,0.7855384615384615
smtp,0.4375,0.6875,0.0,1.0,0.625
dlr,0.7761904761904762,0.0,0.7761904761904762,0.7380952380952381,0.7761904761904762
