application,TranAD,RCoder,USAD,GDN,OmniAnomaly
ecg,0.6154543101216671,0.09293295366295626,0.15810251100181205,0.2174260074208301,0.03559409785141082
smtp,0.4337916824355578,0.18018586266347084,0.9177494638577015,0.0002943526344560784,0.00046255413985955173
dlr,0.06433839864924909,1.0,0.06256109481915934,0.3775881987025682,0.06433839864924909
