dim,precision,recall,fmeasure
0,0.14025974025974025,0.07915057915057915,0.10119523733345522
1,0.14285714285714285,0.08828250401284109,0.10912698412698411
2,0.15064935064935064,0.08713246213246213,0.11040750919650283
3,0.46515151515151515,0.39077355229040617,0.42473089489543703
4,0.5909090909090909,0.5233441651980978,0.5550781623384119
5,0.3818181818181818,0.34793623979017235,0.36409065442192234
6,0.39480519480519477,0.3878995536298907,0.39132191069976197
7,0.31212121212121213,0.41412520064205455,0.3559597880904701
8,0.2727272727272727,0.3263777421080792,0.2971502801006739
9,0.48051948051948046,0.5556045963349334,0.5153414305661601
10,0.2649350649350649,0.36470645459409506,0.3069159997656382
11,0.31212121212121213,0.29322503339357275,0.3023781960330983
12,0.2831168831168831,0.3802197334500705,0.3245610845094989
13,0.0,0.0,-1
14,0.21298701298701297,0.19223344223344224,0.202078775293995
15,0.1792207792207792,0.2580128205128205,0.21151740748850448
16,0.6963636363636363,0.6766605319976107,0.68637071291761
17,0.3515151515151515,0.426194591924929,0.3852693316988696
18,0.34285714285714286,0.3456501363804734,0.34424797460040046
