dim,TranAD,RCoder,USAD,GDN,OmniAnomaly
1,0.3221600931482095,0.0,0.28840582055971903,0.2629297619729552,0.2872519080804988
2,0.30927375628803644,0.12698335320644508,0.29574603174603176,0.2671776059798145,0.2935310992449517
4,0.30836245227978354,0.14836603553431185,0.2949602612285133,0.264269015791608,0.29486256197873717
8,0.2961826866829066,0.19607739177684008,0.3088276019352632,0.3170006459448797,0.3156282893331183
16,0.2962193309400659,0.28438238145113826,0.3541109187260612,0.32632009064717166,0.38436465781371565
32,0.3048236143136519,0.529058488587109,0.33422132937374444,0.3286904824373949,0.3636671605857892
