dim,TranAD,RCoder,USAD,GDN,OmniAnomaly
1,0.9425025641025642,0.0,0.9137435897435896,0.7608,0.9055794871794871
2,0.9734974358974359,0.19474871794871795,0.9554871794871795,0.7090461538461538,0.9446153846153846
4,0.969025641025641,0.23415384615384616,0.9820512820512819,0.6877948717948718,0.970625641025641
8,0.9994871794871795,0.4426051282051282,0.9722051282051283,0.8567179487179487,0.9038974358974358
16,0.9965333333333334,0.8076102564102564,0.6922051282051283,0.9353641025641025,0.285948717948718
32,0.9676512820512821,0.4095179487179488,0.784923076923077,0.9130666666666667,0.41712820512820514
