rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
1,0.19576734868101484,0.0,0.17122484672599028,0.15920633242286297,0.1707369429765495
2,0.18476065782153794,0.09420424646276007,0.17494835680751172,0.17564512927336323,0.17376706519579393
4,0.1843470745496746,0.10861556512652873,0.17354188567078696,0.1782084888903377,0.17384121949627002
8,0.1738503050912823,0.12617830842111818,0.18356992079322967,0.19555915717805045,0.19128611139420973
16,0.17396644673445313,0.1727167195040027,0.2379089114495206,0.1976925833158284,0.5861920008985084
32,0.18145944191938998,0.7477102487208404,0.21231204571935863,0.2008903436369566,0.4082290513244239
